Voltage (mV),Current (mA)
3.52,198.8
3.6,198.9
3.76,199
3.76,199.6
3.84,199.5
3.68,199.6
3.68,199.6
3.76,199.6
3.6,199.6
3.68,199.7
3.76,199.7
3.76,199.7
3.52,199.7
3.52,199.7
3.52,199.7
3.6,199.7
3.68,199.7
3.6,199.7
3.6,199.7
3.52,199.7
3.76,199.7
3.68,199.7
3.52,199.7
2.68,199.7
3.52,199.7
